Site,Tunnel Name,Tunnel Type,VMS,MSC,CLV Setup,MSC firmware,Alternative name,MSC ETH IP,MSC Mask,MSC Gateway,MSC NTP,SSPC IP,SSPC Mask,SSPC Gateway,SSPC NTP
HAGE,I4,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,A,10.92.248.232,255.255.255.0,10.92.248.1,10.92.240.1,10.92.243.147,255.255.254.0,10.92.242.1,10.92.240.1
HAGE,I5,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,B,10.92.248.233,255.255.255.0,10.92.248.1,10.92.240.1,10.92.243.148,255.255.254.0,10.92.242.1,10.92.240.1
HAGE,I6,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,B,10.92.248.234,255.255.255.0,10.92.248.1,10.92.240.1,10.92.243.149,255.255.254.0,10.92.242.1,10.92.240.1
HART,I3,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,,T 1.41.17,,10.64.204.233,255.255.2.55.0,10.64.204.1,10.64.192.1,10.64.195.148,255.255.254.0,10.64.194.1,10.64.192.1
HART,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.64.204.231,255.255.255.0,10.64.204.1,10.64.192.1,10.64.195.146,255.255.254.0,10.64.194.1,10.64.192.1
HART,I2,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.64.204.232,255.255.255.0,10.64.204.1,10.64.192.1,10.64.195.147,255.255.254.0,10.64.194.1,10.64.192.1
HRBG,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,,10.64.44.231,255.255.255.0,10.64.44.1,10.64.32.1,10.64.35.146,255.255.254.0,10.64.34.1,10.64.32.1
HRBG,I2,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,,10.64.44.232,255.255.255.0,10.64.44.1,10.64.32.1,10.64.35.147,255.255.254.0,10.64.34.1,10.64.32.1
HRBG,I3,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,,10.64.44.233,255.255.255.0,10.64.44.1,10.64.32.1,10.64.35.148,255.255.254.0,10.64.34.1,10.64.32.1
HRBG,I4,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,,10.64.44.234,255.255.255.0,10.64.44.1,10.64.32.1,10.64.35.149,255.255.254.0,10.64.34.1,10.64.32.1
HRBG,I5,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,,10.64.44.235,255.255.255.0,10.64.44.1,10.64.32.1,10.64.35.150,255.255.254.0,10.64.34.1,10.64.32.1
IDST,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,,10.85.8.231,255.255.255.0,10.85.8.1,10.85.0.1,10.85.3.146,255.255.254.0,10.85.2.1,10.85.0.1
IDST,I2,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,,10.85.8.232,255.255.255.0,10.85.8.1,10.85.0.1,10.85.3.147,255.255.254.0,10.85.2.1,10.85.0.1
INDI,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,,10.64.60.231,255.255.255.0,10.64.60.1,10.64.48.1,10.64.51.146,255.255.254.0,10.64.50.1,10.64.48.1
IRVG,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.81.28.231,255.255.255.0,10.81.28.1,10.81.16.1,10.81.19.146,255.255.254.0,10.81.18.1,10.81.16.1
JKSV,I1,UDS,,,,,,10.91.168.231,255.255.254.0,10.91.168.1,10.91.168.1,10.91.163.146,255.255.254.0,10.91.162.1,10.91.162.1
KCMO,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,,10.87.72.231,255.255.254.0,10.87.72.1,10.87.64.1,10.87.67.146,255.255.254.0,10.87.66.1,10.87.64.1
KCMO,I2 ,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,,10.87.72.232,255.255.254.0,10.87.72.1,10.87.64.1,10.87.67.147,255.255.254.0,10.87.66.1,10.87.64.1
KCMO,I3,UDS,,,,,,10.87.72.233,255.255.254.0,10.87.72.1,10.87.64.1,10.87.67.148,255.255.254.0,10.87.66.1,10.87.64.1
KCMO,I4,UDS,,,,,,10.87.72.234,255.255.254.0,10.87.72.1,10.87.64.1,10.87.67.149,255.255.254.0,10.87.66.1,10.87.64.1
LASV,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,,T 1.41.17,,10.110.24.231,255.255.254.0,10.110.24.1,10.110.24.1,10.110.19.146,255.255.254.0,10.110.18.1,10.110.18.1
LNXA,I6,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.64.172.232,255.255.255.0,10.64.172.1,10.64.160.1,10.64.163.147,255.255.254.0,10.64.162.1,10.64.160.1
LNXA,I5,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.64.172.231,255.255.255.0,10.64.172.1,10.64.160.1,10.64.163.146,255.255.254.0,10.64.162.1,10.64.160.1
LOSA,I3,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,,10.65.76.231,255.255.255.0,10.65.76.1,10.65.64.1,10.65.67.146,255.255.254.0,10.65.66.1,10.65.64.1
MANC,I1,UDS,,,,,,10.95.72.231,255.255.254.0,10.95.72.1,10.95.72.1,10.95.67.146,255.255.254.0,10.95.66.1,10.95.66.1
MARI,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,A,10.81.184.231,255.255.255.0,10.81.184.1,10.81.176.1,10.81.179.146,255.255.254.0,10.81.178.1,10.81.176.1
MARI,I2,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,A,10.81.184.232,255.255.255.0,10.81.184.1,10.81.176.1,10.81.179.147,255.255.254.0,10.81.178.1,10.81.176.1
MCCK,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.81.104.231,255.255.255.0,10.81.104.1,10.81.96.1,10.81.99.146,255.255.254.0,10.81.98.1,10.81.96.1
MEMP,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.65.92.231,255.255.255.0,10.65.92.1,10.65.80.1,10.65.83.146,255.255.254.0,10.65.82.1,10.65.80.1
MEMP,I2,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.65.92.232,255.255.255.0,10.65.92.1,10.65.80.1,10.65.83.147,255.255.254.0,10.65.82.1,10.65.80.1
MEMP,I3,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.65.92.233,255.255.255.0,10.65.92.1,10.65.80.1,10.65.83.148,255.255.254.0,10.65.82.1,10.65.80.1
MIAM,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.80.88.231,255.255.255.0,10.80.88.1,10.80.80.1,10.80.83.146,255.255.254.0,10.80.82.1,10.80.80.1
MNTR,I1,UDS,,V 3.25.241       EPIC-2 UDS           V 3.2,,,,10.80.232.231,255.255.255.0,10.80.232.1,10.80.232.1,10.80.227.146,255.255.254.0,10.80.226.1,10.80.226.1
MNTR,I2,UDS,,V 3.25.241       EPIC-2 UDS           V 3.2,,,,10.80.232.232,255.255.255.0,10.80.232.1,10.80.232.1,10.80.227.147,255.255.254.0,10.80.226.1,10.80.226.1
MPGR,I1,UDS,,,,,,10.97.232.231,255.255.254.0,10.97.232.1,10.97.232.1,10.97.227.146,255.255.254.0,10.97.226.1,10.97.226.1
NASH,I4,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.64.236.231,255.255.255.0,10.64.236.1,10.64.224.1,10.64.227.146,255.255.254.0,10.64.226.1,10.64.224.1
NASH,I5,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.64.236.232,255.255.255.0,10.64.236.1,10.64.224.1,10.64.227.147,255.255.254.0,10.64.226.1,10.64.224.1
NCHG,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,,10.83.72.231,255.255.254.0,10.83.72.1,10.83.64.1,10.83.67.146,255.255.254.0,10.83.66.1,10.83.64.1
NFTW,I1,UDS,,,,,,10.71.120.231,255.255.254.0,10.71.120.1,10.71.120.1,10.71.115.146,255.255.254.0,10.71.114.1,10.71.114.1
NIND,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,,T 1.41.17,,10.83.104.231,255.255.254.0,10.83.104.1,10.83.104.1,10.83.99.146,255.255.254.0,10.83.98.1,10.83.98.1
NMIL,I1,UDS,,,,,,10.111.152.231,255.255.254.0,10.111.152.1,10.111.152.1,10.111.147.146,255.255.254.0,10.111.146.1,10.111.146.1
NOKY,I4,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,A,10.70.8.231,255.255.255.0,10.70.8.1,10.70.0.1,10.70.3.146,255.255.254.0,10.70.2.1,10.70.0.1
NOKY,I5,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,B,10.70.8.232,255.255.255.0,10.70.8.1,10.70.0.1,10.70.3.147,255.255.254.0,10.70.2.1,10.70.0.1
NORC,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.67.136.231,255.255.255.0,10.67.136.1,10.67.130.1,10.67.131.146,255.255.254.0,10.67.130.1,10.67.130.1
OKLA,I1,UDS,,,,,,10.93.56.231,255.255.254.0,10.93.56.1,,10.93.51.147,255.255.254.0,10.93.50.1,
OLIV,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,A,10.89.24.231,255.255.254.0,10.89.24.1,10.89.16.1,10.89.19.146,255.255.254.0,10.89.18.1,10.89.16.1
