Site,Tunnel Name,Tunnel Type,VMS,MSC,CLV Setup,MSC firmware,Alternative name,MSC ETH IP,MSC Mask,MSC Gateway,MSC NTP,SSPC IP,SSPC Mask,SSPC Gateway,SSPC NTP
STPL,I3,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.64.92.233,255.255.255.0,10.64.92.1,10.64.88.1,10.64.83.148,255.255.254.0,10.64.82.1,10.64.88.1
STPL,I4,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.64.92.234,255.255.255.0,10.64.92.1,10.64.88.1,10.64.83.149,255.255.254.0,10.64.82.1,10.64.88.1
SWND,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.94.40.231,,,,10.94.35.113,,,
SYRA,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.68.60.231,255.255.255.0,10.68.60.1,10.68.48.1,10.68.51.146,255.255.254.0,10.68.50.1,10.68.48.1
TAMP,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.86.232.231,255.255.255.0,10.86.232.1,10.86.224.1,10.86.227.146,255.255.254.0,10.86.226.1,10.86.224.1
TOLE,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,B,10.91.88.231,255.255.255.0,10.91.88.0,10.91.80.1,10.91.83.146,255.255.254.0,10.91.82.1,10.91.80.1
TOLE,I2,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,B,10.91.88.232,255.255.255.0,10.91.88.0,10.91.80.1,10.91.83.147,255.255.254.0,10.91.82.1,10.91.80.1
TOLE,I3,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,A,10.91.88.233,255.255.255.0,10.91.88.0,10.91.80.1,10.91.83.148,255.255.254.0,10.91.82.1,10.91.80.1
TOLE,I4,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,A,10.91.88.234,255.255.255.0,10.91.88.0,10.91.80.1,10.91.83.149,255.255.254.0,10.91.82.1,10.91.80.1
TOLE,I5,UDS,,,,,,10.91.88.235,255.255.255.0,10.91.88.0,10.91.80.1,10.91.83.150,255.255.254.0,10.91.82.1,10.91.80.1
TOLE,I6,UDS,,,,,,10.91.88.236,255.255.255.0,10.91.88.0,10.91.80.1,10.91.83.151,255.255.254.0,10.91.82.1,10.91.80.1
TORO,I1,NSDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,S 1.41.16,N/A,10.68.68.231,255.255.255.0,10.68.68.1,10.68.68.1,10.68.67.146,255.255.254.0,10.68.66.1,10.68.68.1
TORO,I2,NSDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,S 1.41.16,N/A,10.68.68.232,255.255.255.0,10.68.68.1,10.68.68.1,10.68.67.147,255.255.254.0,10.68.66.1,10.68.68.1
TORO,I3,NSDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,S 1.41.16,N/A,10.68.68.233,255.255.255.0,10.68.68.1,10.68.68.1,10.68.67.148,255.255.254.0,10.68.66.1,10.68.68.1
TORO,I4,NSDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,S 1.41.16,N/A,10.68.68.234,255.255.255.0,10.68.68.1,10.68.68.1,10.68.67.149,255.255.254.0,10.68.66.1,10.68.68.1
WHLG,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.65.184.231,255.255.255.0,10.65.184.1,10.65.176.1,10.65.179.146,255.255.254.0,10.65.178.1,10.65.176.1
WNPG,,NSDS,V 2.51,V 3.25.241       EPIC-2 UDS           V 3.2,,S 1.4,,10.88.114.146,255.255.254.1,10.88.114.1,10.88.114.1,10.88.114.147,255.255.254.0,10.88.114.1,10.88.114.1
WOOD,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,D,10.79.141.1,255.255.254.0,10.79.140.1,10.79.128.1,10.79.131.195,255.255.254.0,10.79.130.1,10.79.128.1
WOOD,I2,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,,,B,10.79.141.2,255.255.254.0,10.79.140.1,10.79.128.1,10.79.131.196,255.255.254.0,10.79.130.1,10.79.128.1
WOOD,I3,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,,,,10.79.141.3,255.255.254.0,10.79.140.1,10.79.128.1,10.79.131.197,255.255.254.0,10.79.130.1,10.79.128.1
WOOD,I4,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,,,,10.79.141.4,255.255.254.0,10.79.140.1,10.79.140.1,10.79.131.198,255.255.254.0,10.79.130.1,10.79.130.1
WOOD,I5,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,D,10.79.140.254,255.255.255.0,10.79.140.1,10.79.128.1,10.79.131.204,255.255.254.0,10.79.130.1,10.79.128.1
WOOD,I6,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,C,10.79.140.231,255.255.255.0,10.79.140.1,10.79.128.1,10.79.131.200,255.255.254.0,10.79.130.1,10.79.128.1
WOOD,I7,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,A,10.79.140.232,255.255.255.0,10.79.140.1,10.79.128.1,10.79.131.201,255.255.254.0,10.79.130.1,10.79.128.1
WOOD,I8,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,E,10.79.140.233,255.255.255.0,10.79.140.1,10.79.128.1,10.79.131.202,255.255.254.0,10.79.130.1,10.79.128.1
WOOD,I9,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,B,10.79.140.234,255.255.255.0,10.79.140.1,10.79.128.1,10.79.131.203,255.255.254.0,10.79.130.1,10.79.128.1
WPOR,I1,UDS,,,,,,10.85.24.231,255.255.254.0,10.85.24.1,,10.85.19.146,255.255.254.0,10.85.18.1,
WRLT,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,,T 1.41.17,,10.82.120.231,255.255.254.0,10.82.114.1 ,,10.82.115.146,255.255.254.0,10.82.114.1,
