Site,Tunnel,System Type,PE Type,MSC ,ICR-2,ICR -3,LED ,VMS,CLV490 ,CLV690,Mirror Type,CLV Setup,SOPAS,Scale Installed,MSC ETH1               IP,MSC ETH1        Mask,MSC ETH1 Gateway,MSC ETH2               IP,MSC ETH2        Mask,MSC ETH2 Gateway,SNTP IP,Solution Server   IP,Solution Server Mask,Solution Server Gateway,Solution Server SNTP IP,Hard Drives,Solution Server Image,Solution Server Software
CHAM,PS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.79.60.187,255.255.255.0,10.79.60.1,10.79.61.187,255.255.255.0,10.79.60.1,10.79.50.1,10.79.51.102,255.255.254.0,10.79.50.1,10.79.50.1,,9193313_04,1.3.0.1.RC
CHAM,PS3,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.79.60.188,255.255.255.0,10.79.60.1,10.79.61.188,255.255.255.0,10.79.60.1,10.79.50.1,10.79.51.103,255.255.254.0,10.79.50.1,10.79.50.1,,9193313_04,1.3.0.1.RC
CHAM,SS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.79.60.196,255.255.255.0,10.79.60.1,10.79.61.196,255.255.255.0,10.79.60.1,10.79.50.1,10.79.51.111,255.255.254.0,10.79.50.1,10.79.50.1,,9193313_04,1.3.0.1.RC
CHAM,SS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.79.60.197,255.255.255.0,10.79.60.1,10.79.61.197,255.255.255.0,10.79.60.1,10.79.50.1,10.79.51.112,255.255.254.0,10.79.50.1,10.79.50.1,,9193313_04,1.3.0.1.RC
CHAM,SS3,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.79.60.198,255.255.255.0,10.79.60.1,10.79.61.198,255.255.255.0,10.79.60.1,10.79.50.1,10.79.51.113,255.255.254.0,10.79.50.1,10.79.50.1,,9193313_04,1.3.0.1.RC
CHAM,SS4,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.79.60.199,255.255.255.0,10.79.60.1,10.79.61.199,255.255.255.0,10.79.60.1,10.79.50.1,10.79.51.114,255.255.254.0,10.79.50.1,10.79.50.1,,9193313_04,1.3.0.1.RC
CHAR,PS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.65.12.186,255.255.255.0,10.65.12.1,10.65.13.186,255.255.255.0,10.65.12.1,10.65.0.1,10.65.3.101,255.255.254.0,10.65.2.1,10.65.0.1,,9193313_03,1.3.0.1.RC
CHAR,PS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.65.12.187,255.255.255.0,10.65.12.1,10.65.13.187,255.255.255.0,10.65.12.1,10.65.0.1,10.65.3.102,255.255.254.0,10.65.2.1,10.65.0.1,,9193313_03,1.3.0.1.RC
CHAR,PS3,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.65.12.188,255.255.255.0,10.65.12.1,10.65.13.188,255.255.255.0,10.65.12.1,10.65.0.1,10.65.3.103,255.255.254.0,10.65.2.1,10.65.0.1,,9193313_03,1.3.0.1.RC
CHAR,PS4,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.65.12.189,255.255.255.0,10.65.12.1,10.65.13.189,255.255.255.0,10.65.12.1,10.65.0.1,10.65.3.104,255.255.254.0,10.65.2.1,10.65.0.1,,9193313_03,1.3.0.1.RC
CHAR,SS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.65.12.196,255.255.255.0,10.65.12.1,10.65.13.196,255.255.255.0,10.65.12.1,10.65.0.1,10.65.3.111,255.255.254.0,10.65.2.1,10.65.0.1,,9193313_03,1.3.0.1.RC
CHAR,SS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.65.12.197,255.255.255.0,10.65.12.1,10.65.13.197,255.255.255.0,10.65.12.1,10.65.0.1,10.65.3.112,255.255.254.0,10.65.2.1,10.65.0.1,,9193313_03,1.3.0.1.RC
CHAR,SS3,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.65.12.198,255.255.255.0,10.65.12.1,10.65.13.198,255.255.255.0,10.65.12.1,10.65.0.1,10.65.3.113,255.255.254.0,10.65.2.1,10.65.0.1,,9193313_03,1.3.0.1.RC
