Date/Time,Site Name,Tunnel Name,Tunnel Type,IP,Reachable?,,,,,,,
12-09-15_16:28,CRSN,SS2,ICR,10.81.147.112,Reachable,,,,,,,
12-09-15_16:28,DALL,PS1,ICR,10.69.211.101,Reachable,,,,,,,
12-09-15_16:28,DALL,PS2,ICR,10.69.211.102,Reachable,,,,,,,
12-09-15_16:28,DALL,PS3,ICR,10.69.211.103,Reachable,,,,,,,
12-09-15_16:28,DALL,PS4,ICR,10.69.211.104,Reachable,,,,,,,
12-09-15_16:28,DALL,PS5,ICR,10.69.211.105,Reachable,,,,,,,
12-09-15_16:28,DALL,PS6,ICR,10.69.211.106,Reachable,,,,,,,
12-09-15_16:28,DALL,PS7,ICR,10.69.211.108,Reachable,,,,,,,
12-09-15_16:28,DALL,PS8,ICR,10.69.211.109,Reachable,,,,,,,
12-09-15_16:28,DALL,PSR,ICR,10.69.211.110,Reachable,,,,,,,
12-09-15_16:28,DALL,SSA1,ICR,10.69.211.111,Reachable,,,,,,,
12-09-15_16:28,DALL,SSA2,ICR,10.69.211.112,Reachable,,,,,,,
12-09-15_16:28,DALL,SSA3,ICR,10.69.211.113,Reachable,,,,,,,
12-09-15_16:28,DALL,SSB1,ICR,10.69.211.114,Reachable,,,,,,,
12-09-15_16:28,DALL,SSB2,ICR,10.69.211.115,Reachable,,,,,,,
12-09-15_16:28,DALL,SSB3,ICR,10.69.211.116,Reachable,,,,,,,
12-09-15_16:28,DALL,SSC1,ICR,10.69.211.117,Reachable,,,,,,,
12-09-15_16:28,DALL,SSC2,ICR,10.69.211.118,Reachable,,,,,,,
12-09-15_16:28,DALL,SSC3,ICR,10.69.211.119,Reachable,,,,,,,
12-09-15_16:28,DALL,SSC4,ICR,10.69.211.120,Reachable,,,,,,,
12-09-15_16:28,DALL,LC1,ICR,10.69.211.131,Reachable,,,,,,,
12-09-15_16:28,DALL,LC2,ICR,10.69.211.132,Reachable,,,,,,,
12-09-15_16:28,DALL,BS01CT1,ICR,10.69.211.127,UNREACHABLE,,,,,,,
12-09-15_16:28,DALL,BS01CT2,ICR,10.69.211.128,UNREACHABLE,,,,,,,
12-09-15_16:28,DENV,PS1,ICR,10.65.35.101,Reachable,,,,,,,
12-09-15_16:28,DENV,PS2,ICR,10.65.35.102,Reachable,,,,,,,
12-09-15_16:28,DENV,PS3,ICR,10.65.35.103,Reachable,,,,,,,
12-09-15_16:28,DENV,PS4,ICR,10.65.35.104,Reachable,,,,,,,
12-09-15_16:28,DENV,SS1,ICR,10.65.35.111,Reachable,,,,,,,
12-09-15_16:28,DENV,SS2,ICR,10.65.35.112,Reachable,,,,,,,
12-09-15_16:28,DENV,SS3,ICR,10.65.35.113,Reachable,,,,,,,
12-09-15_16:28,DENV,SS4,ICR,10.65.35.114,Reachable,,,,,,,
12-09-15_16:28,DETR,SS1,ICR,10.86.243.111,Reachable,,,,,,,
12-09-15_16:28,ECOL,SS1,ICR,10.82.3.111,Reachable,,,,,,,
12-09-15_16:28,ECOL,SS2,ICR,10.82.3.112,Reachable,,,,,,,
12-09-15_16:28,EHRB,SS1,ICR,10.83.131.111,Reachable,,,,,,,
12-09-15_16:28,EHRB,SS2,ICR,10.83.131.112,Reachable,,,,,,,
12-09-15_16:28,FRES,SS2,ICR,10.71.83.111,Reachable,,,,,,,
12-09-15_16:28,FTWA,SS1,ICR,10.67.35.111,Reachable,,,,,,,
12-09-15_16:28,FTWA,SS2,ICR,10.67.35.112,Reachable,,,,,,,
12-09-15_16:28,FTWO,PS1,ICR,10.64.67.101,Reachable,,,,,,,
12-09-15_16:28,FTWO,PS2,ICR,10.64.67.102,Reachable,,,,,,,
12-09-15_16:28,FTWO,PS3,ICR,10.64.67.103,Reachable,,,,,,,
12-09-15_16:28,FTWO,PS4,ICR,10.64.67.104,Reachable,,,,,,,
12-09-15_16:28,FTWO,PS5,ICR,10.64.67.105,Reachable,,,,,,,
12-09-15_16:28,FTWO,PS6,ICR,10.64.67.106,Reachable,,,,,,,
12-09-15_16:28,FTWO,SS1,ICR,10.64.67.111,Reachable,,,,,,,
12-09-15_16:28,FTWO,SS2,ICR,10.64.67.112,Reachable,,,,,,,
12-09-15_16:28,FTWO,SS3,ICR,10.64.67.113,Reachable,,,,,,,
12-09-15_16:28,FTWO,SS4,ICR,10.64.67.114,Reachable,,,,,,,
12-09-15_16:28,FTWO,SS5,ICR,10.64.67.115,Reachable,,,,,,,
12-09-15_16:28,FTWO,SS6,ICR,10.64.67.116,Reachable,,,,,,,
12-09-15_16:28,FTWO,SS7,ICR,10.64.67.117,Reachable,,,,,,,
12-09-15_16:28,GRNB,PS1,ICR,10.65.227.93,Reachable,,,,,,,
12-09-15_16:28,GRNB,PS2,ICR,10.65.227.95,Reachable,,,,,,,
12-09-15_16:28,GRNB,PS3,ICR,10.65.227.96,Reachable,,,,,,,
12-09-15_16:28,GRNB,PS4,ICR,10.65.227.100,Reachable,,,,,,,
12-09-15_16:28,GRNB,PSR,ICR,10.65.227.97,Reachable,,,,,,,
12-09-15_16:28,GRNB,SSA1,ICR,10.65.227.99,Reachable,,,,,,,
12-09-15_16:28,GRNB,SSA2,ICR,10.65.227.101,Reachable,,,,,,,
12-09-15_16:28,GRNB,SSB1,ICR,10.65.227.103,Reachable,,,,,,,
12-09-15_16:28,GRNB,SSB2,ICR,10.65.227.98,Reachable,,,,,,,
12-09-15_16:28,GRNB,SSB3,ICR,10.65.227.102,Reachable,,,,,,,
12-09-15_16:28,GRNB,LC1,ICR,10.65.227.107,Reachable,,,,,,,
12-09-15_16:28,GRNB,LC2,ICR,10.65.227.109,Reachable,,,,,,,
12-09-15_16:28,HAGE,PS1,ICR,10.92.243.101,Reachable,,,,,,,
12-09-15_16:28,HAGE,PS2,ICR,10.92.243.102,Reachable,,,,,,,
12-09-15_16:28,HAGE,PS3,ICR,10.92.243.103,Reachable,,,,,,,
12-09-15_16:28,HAGE,PS4,ICR,10.92.243.104,Reachable,,,,,,,
12-09-15_16:28,HAGE,PS5,ICR,10.92.243.105,Reachable,,,,,,,
12-09-15_16:28,HAGE,PS6,ICR,10.92.243.106,Reachable,,,,,,,
12-09-15_16:28,HAGE,PS7,ICR,10.92.243.107,Reachable,,,,,,,
12-09-15_16:28,HAGE,PSR,ICR,10.92.243.110,Reachable,,,,,,,
12-09-15_16:28,HAGE,SSA1,ICR,10.92.243.111,Reachable,,,,,,,
12-09-15_16:28,HAGE,SSA2,ICR,10.92.243.112,Reachable,,,,,,,
12-09-15_16:28,HAGE,SSA3,ICR,10.92.243.113,Reachable,,,,,,,
12-09-15_16:28,HAGE,SSB1,ICR,10.92.243.115,Reachable,,,,,,,
12-09-15_16:28,HAGE,SSB2,ICR,10.92.243.116,Reachable,,,,,,,
12-09-15_16:28,HAGE,SSB3,ICR,10.92.243.117,Reachable,,,,,,,
12-09-15_16:28,HAGE,SSC1,ICR,10.92.243.118,Reachable,,,,,,,
12-09-15_16:28,HAGE,SSC2,ICR,10.92.243.119,Reachable,,,,,,,
12-09-15_16:28,HART,PS1,ICR,10.64.195.101,Reachable,,,,,,,
12-09-15_16:28,HART,PS2,ICR,10.64.195.102,Reachable,,,,,,,
12-09-15_16:28,HART,PS3,ICR,10.64.195.103,Reachable,,,,,,,
12-09-15_16:28,HART,PS4,ICR,10.64.195.104,Reachable,,,,,,,
12-09-15_16:28,HART,SS1,ICR,10.64.195.111,Reachable,,,,,,,
12-09-15_16:28,HART,SS2,ICR,10.64.195.112,Reachable,,,,,,,
12-09-15_16:28,HART,SS3,ICR,10.64.195.113,Reachable,,,,,,,
12-09-15_16:28,HART,SS4,ICR,10.64.195.114,Reachable,,,,,,,
12-09-15_16:28,HART,SS5,ICR,10.64.195.115,Reachable,,,,,,,
12-09-15_16:28,HART,SS6,ICR,10.64.195.116,Reachable,,,,,,,
12-09-15_16:28,HRBG,GreenOut,ICR,10.64.35.111,Reachable,,,,,,,
12-09-15_16:28,HRBG,GreenIn,ICR,10.64.35.112,Reachable,,,,,,,
12-09-15_16:28,HRBG,BrownOut,ICR,10.64.35.113,Reachable,,,,,,,
