Site,Tunnel,System Type,Scale Installed
RLTO,PS1,ICR,Yes
RLTO,PS2,ICR,Yes
RLTO,PS3,ICR,Yes
RLTO,PS4,ICR,Yes
RLTO,PS5,ICR,Yes
RLTO,PS6,ICR,Yes
RLTO,PSR,ICR,No
RLTO,SSA1,ICR,No
RLTO,SSA2,ICR,No
RLTO,SSB1,ICR,No
RLTO,SSB2,ICR,No
RLTO,SSB3,ICR,No
RLTO,SSB4,ICR,No
RLTO,SSD1,ICR,No
RLTO,SSD2,ICR,No
RLTO,SSE1,ICR,No
RLTO,SSE2,ICR,No
ROSV,SS1,ICR,Yes
ROSV,SS2,ICR,Yes
SACR,PS1,ICR,Yes
SACR,PS2,ICR,Yes
SACR,PS3,ICR,Yes
SACR,PS4,ICR,Yes
SACR,PS5,ICR,Yes
SACR,PS6,ICR,Yes
SACR,SS1,ICR,No
SACR,SS2,ICR,No
SACR,SS3,ICR,No
SACR,SS4,ICR,No
SACR,SS5,ICR,No
SACR,SS6,ICR,No
SALT,PS1,ICR,Yes
SALT,PS2,ICR,Yes
SALT,SSA1,ICR,No
SALT,SSA2,ICR,No
SANA,SS,ICR,
SANA,SS,ICR,
SCHG,SS1 ,ICR,Yes
SCHG,SS2,ICR,Yes
SFRN,SS1,ICR,Yes
SFRN,SS2,ICR,Yes
SPAR,SS,ICR,
SPAR,SS,ICR,
SSTO,SS1,ICR,Yes
SSTO,SS2,ICR,Yes
STLO,SS1,ICR,No
STLO,SS2,ICR,No
SWND,SS1 ,ICR,Yes
SWND,SS2 ,ICR,Yes
SYRA,PS1,ICR,Yes
SYRA,PS2,ICR,Yes
SYRA,SS1,ICR,No
SYRA,SS2,ICR,No
TAMP,SS1,ICR,No
TAMP,SS2,ICR,No
WHLG,SS1,ICR,No
WHLG,SS2,ICR,No
WOOD,PS1,ICR,Yes
WOOD,PS2,ICR,Yes
WOOD,PS3,ICR,Yes
WOOD,PS4,ICR,Yes
WOOD,PS5,ICR,Yes
